/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-01.npy|black beauty : the autobiography of a horse .~|0 2 3 4 5 6 7 8|1 4 4 1 7 7 4 1|amod punct det appos case det nmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-21.npy|i have never forgotten my mother's advice ; i knew she was a wise old horse , and our master thought a great deal of her .~|0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27|3 3 3 5 7 5 3 3 10 3 16 16 16 16 16 10 21 21 20 21 3 24 24 21 26 24 3|nsubj aux advmod nmod:poss nmod:poss case obj punct nsubj parataxis nsubj cop det amod amod ccomp punct cc nmod:poss nsubj conj det amod obj case nmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-22.npy|her name was duchess , but he often called her pet .~|0 1 2 4 5 6 7 8 9 10 11|1 3 3 8 8 8 8 3 10 8 3|nmod:poss nsubj cop punct cc nsubj advmod conj nmod:poss obj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-23.npy|our master was a good , kind man .~|0 1 2 3 4 5 6 8|1 7 7 7 7 7 7 7|nmod:poss nsubj cop det amod punct amod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-24.npy|he gave us good food , good lodging , and kind words ; he spoke as kindly to us as he did to his little children .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26|1 1 4 1 7 7 4 11 11 11 4 14 14 1 16 14 18 14 21 21 14 25 25 25 21 1|nsubj iobj amod obj punct amod conj punct cc amod conj punct nsubj parataxis advmod advmod case obl mark nsubj advcl case nmod:poss amod obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-25.npy|we were all fond of him , and my mother loved him very much .~|0 1 2 4 5 6 7 8 9 10 11 12 13 14|3 3 3 5 3 10 10 9 10 3 10 13 10 3|nsubj cop advmod case obl punct cc nmod:poss nsubj conj obj advmod advmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-26.npy|when she saw him at the gate she would neigh with joy , and trot up to him .~|0 1 2 3 4 5 6 7 8 10 11 12 13 14 15 16 17 18|2 2 9 2 6 6 2 9 9 11 9 14 14 9 14 17 14 9|mark nsubj advcl obj case det obl nsubj aux case obl punct cc conj compound:prt case obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-27.npy|he would pat and stroke her and say , well , old pet , and how is your little darkie ?~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20|2 2 4 2 2 7 2 12 12 12 12 7 19 19 19 19 19 19 2 2|nsubj aux cc conj obj cc conj punct discourse punct amod ccomp punct cc advmod cop nmod:poss amod conj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-28.npy|i was a dull black , so he called me darkie ; then he would give me a piece of bread , which was very good , and sometimes he brought a carrot for my mother .~|0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36|4 4 4 4 4 8 8 4 8 8 4 15 15 15 4 15 18 15 20 18 25 25 25 25 18 30 30 30 30 15 32 30 35 35 30 4|nsubj cop det amod punct advmod nsubj parataxis obj advmod punct advmod nsubj aux parataxis iobj det obj case nmod punct nsubj cop advmod acl:relcl punct cc advmod nsubj conj det obj case nmod:poss obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-29.npy|all the horses would come to him , but i think we were his favorites .~|0 1 2 3 5 6 7 8 9 10 11 12 13 14 15|2 2 4 4 6 4 10 10 10 4 14 14 14 10 4|det:predet det nsubj aux case obl punct cc nsubj conj nsubj cop nmod:poss ccomp punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-30.npy|my mother always took him to the town on a market day in a light gig .~|0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16|1 3 3 3 7 7 3 11 11 11 3 15 15 15 3 3|nmod:poss nsubj advmod obj case det obl case det compound obl case det amod obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-31.npy|there was a plowboy , dick , who sometimes came into our field to pluck blackberries from the hedge .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19|1 3 1 5 3 5 9 9 5 12 12 9 14 9 14 18 18 14 1|expl det nsubj punct appos punct nsubj advmod acl:relcl case nmod:poss obl mark advcl obj case det obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-32.npy|when he had eaten all he wanted he would have what he called fun with the colts , throwing stones and sticks at them to make them gallop .~|0 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28|3 3 3 9 3 6 9 9 6 12 12 9 12 16 16 12 18 12 18 21 19 23 18 25 18 25 25 9|mark nsubj aux advcl obj nsubj nsubj aux ccomp obj nsubj ccomp obj case det obl punct advcl obj cc conj case obl mark advcl obj xcomp punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-33.npy|we did not much mind him , for we could gallop off ; but sometimes a stone would hit and hurt us .~|0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22|4 4 4 4 4 4 10 10 10 4 10 4 18 18 16 18 18 4 20 18 20 4|nsubj aux advmod advmod obj punct mark nsubj aux advcl compound:prt punct cc advmod det nsubj aux conj cc conj obj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-35.npy|as soon as we saw the master we trotted up nearer to see what went on .~|0 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16|1 8 4 4 1 6 4 8 8 8 12 8 14 12 14 8|advmod advmod mark nsubj advcl det obj nsubj compound:prt advmod mark advcl nsubj ccomp advmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-36.npy|bad boy !~|0 2|1 1|amod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-37.npy|he said , bad boy !~|0 2 3 4 5|1 4 4 1 1|nsubj punct amod ccomp punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-38.npy|to chase the colts .~|0 2 3 4|1 3 1 1|mark det obj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-39.npy|this is not the first time , nor the second , but it shall be the last .~|0 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17|5 5 5 5 5 9 9 9 5 16 16 16 16 16 16 5 5|nsubj cop advmod det amod punct cc det conj punct cc nsubj aux cop det conj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-40.npy|there , take your money and go home ; i shall not want you on my farm again .~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18|2 2 4 2 6 2 6 2 12 12 12 2 12 16 16 12 12 2|advmod punct nmod:poss obj cc conj advmod punct nsubj aux advmod parataxis obj case nmod:poss obl advmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-41.npy|so we never saw dick any more .~|0 1 2 4 5 6 7|3 3 3 3 6 3 3|advmod nsubj advmod obj advmod advmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-42.npy|old daniel , the man who looked after the horses , was just as gentle as our master , so we were well off .~|0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24|1 14 1 4 1 6 4 9 9 6 14 14 14 14 17 17 14 23 23 23 23 23 14 14|amod nsubj punct det appos nsubj acl:relcl case det obl punct cop advmod advmod case nmod:poss obl punct advmod nsubj cop advmod advcl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-01.npy|chapter two .~|1 2|0 0|dep punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-02.npy|the hunt .~|0 2|1 1|det punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-03.npy|i was two years old when a circumstance happened which i have never forgotten .~|0 1 2 3 5 6 7 8 9 10 11 12 13 14|4 4 3 4 8 7 8 4 13 13 13 13 8 4|nsubj cop nummod obl:npmod mark det nsubj advcl obj nsubj aux advmod ccomp punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-04.npy|it was early in the spring ; there had been a little frost in the night , and a light mist still hung over the plantations and meadows .~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28|2 2 5 5 2 2 9 9 2 12 12 9 15 15 12 22 22 20 20 22 22 9 25 25 22 27 25 2|nsubj cop case det obl punct expl aux parataxis det amod nsubj case det nmod punct cc det amod nsubj advmod conj case det obl cc conj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-05.npy|i and the other colts were feeding at the lower part of the field when we heard , quite in the distance , what sounded like the cry of dogs .~|0 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30|6 4 4 4 0 6 10 10 10 6 13 13 10 16 16 6 16 21 21 21 16 24 24 16 27 27 24 29 27 6|nsubj cc det amod conj aux case det amod obl case det nmod mark nsubj advcl punct advmod case det obl punct nsubj conj case det obl case nmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-06.npy|the oldest of the colts raised his head , pricked his ears , and said , there are the hounds !~|0 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20|1 5 4 4 1 7 5 9 5 11 9 14 14 5 17 17 14 19 17 5|det nsubj case det nmod nmod:poss obj punct conj nmod:poss obj punct cc conj punct expl ccomp det nsubj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-07.npy|and immediately cantered off , followed by the rest of us to the upper part of the field , where we could look over the hedge and see several fields beyond .~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31|2 2 2 5 2 8 8 5 10 8 14 14 14 5 17 17 14 22 22 22 22 17 25 25 22 27 22 29 27 27 2|cc advmod compound:prt punct conj case det obl case nmod case det amod obl case det nmod punct mark nsubj aux acl:relcl case det obl cc conj amod obj advmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-08.npy|my mother and an old riding horse of our master's were also standing near , and seemed to know all about it .~|0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 21 22 23|1 13 6 6 6 6 1 9 9 6 9 13 13 13 17 17 13 19 17 19 22 20 13|nmod:poss nsubj cc det amod compound conj case nmod:poss nmod case aux advmod advmod punct cc conj mark xcomp obj case nmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-09.npy|they have found a hare , said my mother , and if they come this way we shall see the hunt .~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21|2 2 4 2 6 2 8 6 18 18 13 13 18 15 13 18 18 2 20 18 2|nsubj aux det obj punct conj nmod:poss obj punct cc mark nsubj advcl det obj nsubj aux conj det obj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-10.npy|and soon the dogs were all tearing down the field of young wheat next to ours .~|0 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16|6 6 3 6 6 6 9 9 6 12 12 9 6 15 6 6|cc advmod det nsubj aux advmod case det obl case amod nmod advmod case obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-11.npy|i never heard such a noise as they made .~|0 1 3 4 5 6 7 8 9|2 2 5 5 2 8 8 2 2|nsubj advmod det:predet det obj mark nsubj advcl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-12.npy|they did not bark , nor howl , nor whine , but kept on a yo !~|0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16|3 3 3 6 6 3 9 9 3 12 12 3 15 15 12 3|nsubj aux advmod punct cc conj punct cc conj punct cc conj case det obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-13.npy|yo , yo , o , o !~|0 1 3 4 5 6 7|2 2 4 2 4 4 0|discourse punct punct discourse punct discourse punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-14.npy|yo , yo !~|0 1 3|2 2 2|discourse punct punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-15.npy|yo , o , o !~|1 2 3 4 5|0 0 2 2 0|punct case punct fixed punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-16.npy|at the top of their voices .~|0 1 3 4 5 6|2 2 5 5 2 2|case det case nmod:poss nmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-17.npy|after them came a number of men on horseback , some of them in green coats , all galloping as fast as they could .~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24|1 2 4 2 6 4 8 6 10 4 12 10 15 15 10 18 18 2 20 18 23 23 20 2|case obl det obj case nmod case nmod punct appos case nmod case amod nmod punct nsubj advcl advmod advmod mark nsubj advcl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-19.npy|they have lost the scent , said the old horse ; perhaps the hare will get off .~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17|2 2 4 2 6 2 9 9 6 2 15 13 15 15 2 15 2|nsubj aux det obj punct parataxis det amod obj punct advmod det nsubj aux parataxis compound:prt punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-20.npy|what hare ?~|0 2|1 1|nsubj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-21.npy|i said .~|0 2|1 1|nsubj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-22.npy|oh !~|1|0|punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-23.npy|i do n't know what hare ; likely enough it may be one of our own hares out of the plantation ; any hare they can find will do for the dogs and men to run after ; and before long the dogs began their yo !~|0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46|3 3 3 5 3 3 8 12 12 12 12 3 16 16 16 12 20 20 20 12 12 23 12 26 26 23 28 26 31 31 28 33 31 35 28 35 12 43 40 43 42 43 28 45 43 3|nsubj aux advmod det obj punct advmod advmod nsubj aux cop parataxis case nmod:poss amod nmod case case det nmod punct det appos nsubj aux acl:relcl aux ccomp case det obl cc conj mark advcl obl punct cc mark advmod det nsubj conj nmod:poss obj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-24.npy|yo , o , o !~|1 2 3 4 5|0 0 2 2 0|punct case punct fixed punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-25.npy|again , and back they came altogether at full speed , making straight for our meadow at the part where the high bank and hedge overhang the brook .~|0 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28|5 5 3 0 5 5 9 9 5 11 5 11 15 15 11 18 18 11 25 22 22 25 24 22 18 27 25 5|advmod punct cc conj nsubj advmod case amod obl punct advcl advmod case nmod:poss obl case det obl mark det amod nsubj cc conj acl:relcl det obj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-26.npy|now we shall see the hare , said my mother ; and just then a hare wild with fright rushed by and made for the plantation .~|0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26|3 3 3 5 3 7 3 9 7 3 16 16 16 16 16 7 18 16 16 19 22 19 25 25 22 3|advmod nsubj aux det obj punct conj nmod:poss obj punct cc advmod advmod det compound conj case nmod acl obl cc conj case det obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-27.npy|on came the dogs ; they burst over the bank , leaped the stream , and came dashing across the field followed by the huntsmen .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25|1 3 1 6 6 1 9 9 6 11 6 13 11 16 16 6 16 20 20 17 20 24 24 21 1|mark det obj punct nsubj parataxis case det obl punct conj det obj punct cc conj xcomp case det obl acl case det obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-28.npy|six or eight men leaped their horses clean over , close upon the dogs .~|0 1 2 3 5 6 7 8 9 10 11 12 13 14|3 2 0 4 6 4 4 4 10 4 13 13 10 4|nummod cc conj nsubj nmod:poss obj xcomp advmod punct advcl case det obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-29.npy|the hare tried to get through the fence ; it was too thick , and she turned sharp round to make for the road , but it was too late ; the dogs were upon her with their wild cries ; we heard one shriek , and that was the end of her .~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53|1 2 4 2 7 7 4 2 12 12 12 2 16 16 16 2 16 16 20 16 23 23 20 29 29 29 29 29 2 35 32 35 35 35 29 39 39 39 35 2 42 2 44 42 50 50 50 50 50 42 52 50 2|det nsubj mark xcomp case det obl punct nsubj cop advmod parataxis punct cc nsubj conj xcomp advmod mark advcl case det obl punct cc nsubj cop advmod conj punct det nsubj cop case parataxis case nmod:poss amod nmod punct nsubj parataxis nummod obj punct cc nsubj cop det conj case nmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-30.npy|one of the huntsmen rode up and whipped off the dogs , who would soon have torn her to pieces .~|0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20|4 3 3 0 4 7 4 7 10 7 16 16 16 16 16 10 16 19 16 4|nsubj case det nmod compound:prt cc conj compound:prt det obj punct nsubj aux advmod aux acl:relcl obj case obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-31.npy|he held her up by the leg torn and bleeding , and all the gentlemen seemed well pleased .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18|1 1 1 6 6 1 1 9 7 15 15 14 14 15 1 17 15 1|nsubj obj compound:prt case det obl advcl cc conj punct cc det:predet det nsubj conj advmod xcomp punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-32.npy|as for me , i was so astonished that i did not at first see what was going on by the brook ; but when i did look there was a sad sight ; two fine horses were down , one was struggling in the stream , and the other was groaning on the grass .~|0 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55|2 0 7 7 7 7 7 14 14 14 14 13 14 7 17 17 14 17 21 21 17 7 38 27 27 27 38 29 27 32 32 29 38 36 36 38 38 7 42 42 42 38 45 45 42 51 51 49 51 51 42 54 54 51 7|case fixed obl punct nsubj cop advmod mark nsubj aux advmod advmod advmod ccomp nsubj aux ccomp compound:prt case det obl punct cc mark nsubj aux advcl expl ccomp det amod nsubj punct nummod amod nsubj cop parataxis punct nsubj aux parataxis case det obl punct cc det nsubj aux conj case det obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-33.npy|one of the riders was getting out of the water covered with mud , the other lay quite still .~|0 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19|5 3 3 0 5 9 9 9 5 9 12 10 16 15 16 5 18 16 5|nsubj case det nmod aux case case det obl acl case obl punct det nsubj parataxis advmod advmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-34.npy|his neck is broken , said my mother .~|0 1 2 3 4 6 7 8|1 3 3 5 3 7 5 5|nmod:poss nsubj:pass aux:pass ccomp punct nmod:poss nsubj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-35.npy|and serves him right , too , said one of the colts .~|0 1 2 3 4 5 6 8 9 10 11 12|7 7 1 1 1 1 7 7 11 11 8 7|cc ccomp obj advmod punct advmod punct nsubj case det nmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-02-36.npy|i thought the same , but my mother did not join with us .~|0 2 3 4 5 6 7 8 9 10 11 12 13|1 3 1 10 10 7 10 10 10 1 12 10 1|nsubj det obj punct cc nmod:poss nsubj aux advmod conj case obl punct
